,label,forward_selected,backward_selected
0,P7 Mono:4045,True,False
1,P1:22913,True,False
2,MFI:469,True,True
3,P1:22213,True,False
4,P2:19837,True,False
5,P4:3799,True,True
6,P2:8332,True,True
7,P7 Mono:9,True,False
8,P3:5417,True,False
9,P7 Mono:4162,False,False
10,P7 Mono:6487,True,False
11,P4:3231,False,False
12,MFI:146,False,False
13,P2:25263,True,False
14,P6 earlyB:25,True,False
15,P3:5694,True,False
16,P5 gd:1778,True,True
17,P7 Mono:6296,True,False
18,P7 Mono:5853,True,True
19,MFI:22,False,False
20,MFI:91,False,True
21,P6:237,True,True
22,P7 Mono:5918,False,False
23,P5 gd:1966,True,True
24,P1:20790,False,False
25,P2:1844,False,True
26,MFI:149,True,True
27,P1:20820,False,False
28,P1:20030,True,False
29,P1:9862,True,True
30,P6 earlyB:90,True,True
31,P4:3472,False,False
32,P1:10573,True,False
33,P5 gd:58,True,True
34,P2:17750,True,True
35,P1:6030,True,False
36,P4:3718,True,True
37,P2:18213,False,False
38,P1:22915,False,False
39,P2:23133,False,True
40,P7:31,False,False
41,P1:25133,True,False
42,P7:44,True,True
43,MFI:68,True,True
44,P7:137,True,False
45,MFI:488,True,False
46,P4:5520,True,True
47,P7 Mono:4135,True,True
48,P2:22065,True,True
49,P7 Mono:3476,True,True
50,P4:3234,False,False
51,P2:6633,True,True
52,P7:57,True,False
53,P4:5685,True,False
54,P1:12372,True,True
55,MFI:236,True,True
56,P2:218,True,True
57,P2:9216,True,False
58,P1:9908,True,True
59,P2:25228,False,False
60,P1:1234,True,True
61,P1:5440,False,True
62,P5 gd:451,True,True
63,P5 gd:853,False,False
64,P4:5325,True,True
65,P1:10222,True,True
66,P5 gd:224,True,False
67,P2:9008,True,False
68,P1:5974,False,False
69,P1:495,True,True
70,MFI:503,False,False
71,P1:2124,True,True
72,P1:22834,True,True
73,P4:3463,False,True
74,P5 gd:596,True,True
75,P2:154,False,False
76,P1:16464,False,False
77,P6 earlyB:192,False,True
78,P3:262,False,True
79,P4:3477,False,False
80,P2:16902,False,False
81,P4:4823,True,True
82,P2:15398,True,False
83,P3:5452,False,True
84,P1:21492,False,False
85,P2:9961,False,True
86,P2:24517,True,False
87,P5 gd:632,True,True
88,P1:20365,True,True
89,P6 earlyB:241,True,False
90,P2:47,False,True
91,Lin:48,True,True
92,P2:17432,True,False
93,P2:20911,True,True
94,P2:9,False,True
95,P2:23914,True,False
96,P2:11259,False,True
97,P1:20793,False,True
98,P5 gd:1118,False,False
99,P2:17747,True,True
100,MFI:224,False,False
101,P1:9600,False,False
102,P5 gd:308,True,True
103,P2:3693,True,True
104,P5 gd:47,False,False
105,P7 Mono:5557,False,True
106,P3:7882,True,False
107,P7 Mono:4124,True,True
108,P1:11785,False,True
109,P7 Mono:1780,True,False
110,P5 gd:549,True,False
111,P2:14727,False,False
112,P5 gd:253,False,True
113,P1:9628,True,True
114,P3:5693,True,False
115,P2:2145,True,True
116,P2:21187,True,False
117,P1:1863,True,False
118,P7 Mono:6556,True,True
119,P2:2168,False,True
120,P7 Mono:1890,True,True
121,P2:4840,False,True
122,P5 gd:826,False,False
123,P2:7082,False,True
124,P5 gd:562,False,False
125,P1:7515,False,False
126,P1:6515,True,True
127,P1:4004,True,False
128,P2:12855,True,False
